,id,salary_min,salary_max,description,category,label,tag,location,longitude,latitude,title,salary_is_predicted,adref,created,redirect_url,company,class,area
0,4214934313,20000.0,28000.0,"Do you want to work within a large community of data professionals? Do you thrive on a challenge? Are you a problem solver? Do you have a STEM degree and A-level mathematics? The Academy Programme Your adventure starts with the Academy, a preliminary training period that covers 13 weeks. After completing this stage, you will commence a 24 month placement with an external client while finishing the curriculum. At the end of the program there are endless possibilities for you as a permanent emplo…","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}",,,"{'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK'}",,,Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYWlxbUZMSXg3aEdVZmd5NzJVaHhVQSIsImkiOiI0MjE0OTM0MzEzIn0.I1g2YqUbwV2elzz4qDnPMaxJXsQ6jWO5pfEcE8yPkz0,2023-07-20T13:41:03Z,https://www.adzuna.co.uk/jobs/land/ad/4214934313?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=EF412FAFE13D3694AFBF1D1CC9AD83BDC382768D,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Elastacloud Ltd'}",,
1,4238122463,52263.36,52263.36,"Location(s): UK, Europe & Africa : UK : London || UK, Europe & Africa : UK : London-CS BAE Systems Digital Intelligence is home to 4,500 digital, cyber and intelligence experts. We work collaboratively across 10 countries to collect, connect and understand complex data, so that governments, nation states, armed forces and commercial businesses can unlock digital advantage in the most demanding environments. We are looking for experienced Data Engineers to join our team following continuous grow…","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}",,,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,NS - Data Engineer,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDIzODEyMjQ2MyIsInMiOiJhaXFtRkxJeDdoR1VmZ3k3MlVoeFVBIn0.CRoCx3j26cE9ChApt_KcAcUDIuFGjqIVYmClIwuUt90,2023-08-02T13:17:45Z,https://www.adzuna.co.uk/jobs/land/ad/4238122463?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=3ED887F960BBAD70200CF6AD2436B8495AB70533,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BAE Systems Digital Intelligence'}",,
2,4138342376,55002.95,55002.95,"DATA ENGINEER - AWS - SNOWFLAKE - SQL - ETL - PYTHON I am currently working in partnership with a renowned financial services client who is looking for a number of Data Engineers for a large transformation project. They're looking to hire 1 Lead Data Engineer and 2 Data Engineers to work alongside. They are in the process of migrating a legacy data warehouse built on SQL Server platform into Cloud Based platform using AWS-Snowflake. Responsibilities Design, develop and maintain data pipelines, …","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",,,"{'display_name': 'The City, Central London', 'area': ['UK', 'London', 'Central London', 'The City'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,Data Engineer,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDEzODM0MjM3NiIsInMiOiJhaXFtRkxJeDdoR1VmZ3k3MlVoeFVBIn0.-puYf8rQOfVj_4tUvfxLnhEzV96OpXm9XgzG4fkoqWg,2023-06-06T19:06:38Z,https://www.adzuna.co.uk/jobs/land/ad/4138342376?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=83DFA9C128C9006CD8574A1AAD0DCAC3DF1D2076,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Oliver James Associates Ltd.'}",,
3,4205090074,56690.24,56690.24,"As Data Engineer, you will report to the Data Engineer Senior Manager and will help build pipelines to ingest data from a variety of data sources from relational databases to unstructured data such as text documents. Using big data tools such as PySpark & Databricks via Azure to process, clean and enhance this data the successful applicant will produce reliable feature sets to build predictive models. This Data Engineer role will support in delivering significant savings, efficiency benefits an…","{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",,,"{'display_name': 'London, UK', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London']}",-0.139134,51.503378,Data Engineer,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDIwNTA5MDA3NCIsInMiOiJhaXFtRkxJeDdoR1VmZ3k3MlVoeFVBIn0.SjwMQjmtH846CZb3Ebx7Gsbk8DQdE3KF_9fREbrwxbY,2023-07-14T07:26:27Z,https://www.adzuna.co.uk/jobs/land/ad/4205090074?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=68334268D500D6F72BE60094A9EAC2E06B6C83CE,"{'display_name': 'Red The Consultancy', '__CLASS__': 'Adzuna::API::Response::Company'}",,
4,4169898158,41120.14,41120.14,"Our Story Hello there. We’re Zopa. We started our journey back in 2005, building the first ever peer-to-peer lending company. Fast forward to 2020 and we launched Zopa Bank. A bank that listens to what our customers don’t like about finance and does the opposite. We’re redefining what it feels like to work in finance. Our vision for a new era of banking puts people front and centre — we’ve built a business that empowers everyone to aim high, every day, to move finance forward. Find out more abo…","{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",,,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}",-0.139134,51.503378,Data Engineer,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYWlxbUZMSXg3aEdVZmd5NzJVaHhVQSIsImkiOiI0MTY5ODk4MTU4In0.jv9lHmol1RsJYyScyeuKLkVV8bBGxTp9fKVREt1EtJo,2023-06-25T04:25:56Z,https://www.adzuna.co.uk/jobs/land/ad/4169898158?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=207DF6D3D15C877A6982B1FC5BEF9FEBE3F67B6E,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Northzone'}",,
5,4121640315,43840.05,43840.05,"Data Engineer - London Location : London, UK Salary : CompetitiveSalary Package(dependenton experience) Please Note: Any offer of employment is subject to satisfactory BPSS and SC security clearance which requires 5 years continuous UK address history at the point of application. Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these service…","{'tag': 'engineering-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Engineering Jobs'}",,,"{'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK'}",-0.139134,51.503378,Data Engineer,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDEyMTY0MDMxNSIsInMiOiJhaXFtRkxJeDdoR1VmZ3k3MlVoeFVBIn0.25TZWKGwJ_dL68Vq71tNTG4RmwdY8cxTNCjaLzfM6HY,2023-05-28T01:45:52Z,https://www.adzuna.co.uk/jobs/land/ad/4121640315?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=681432C7B0006F02EBCC78445C6856C72F87E4C1,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Accenture'}",,
6,4174328080,49492.86,49492.86,"Your mission We're looking for a committed Data Engineer to build automations for various teams at Gen H. You will join a supportive data team of five and cooperate with our commercial and product teams. Your work will help these teams to automate their business processes enabling them to deliver excellent customer outcomes. Your role As Data Engineer, your role will consist of the following: Developing and nurturing our data automations. Maintaining and scaling our data solutions using Airflow…","{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",,,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London'], 'display_name': 'London, UK'}",-0.139134,51.503378,Data Engineer,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYWlxbUZMSXg3aEdVZmd5NzJVaHhVQSIsImkiOiI0MTc0MzI4MDgwIn0.kSmPOZ2-tvwJ1N05k2RUrxZqme1Jf8s0KinSvqf1DXQ,2023-06-28T10:21:06Z,https://www.adzuna.co.uk/jobs/land/ad/4174328080?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=497A89DE75FFD61E3946E4AF6B3BE105D7470BF9,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Firstminute'}",,
7,4121638243,45049.07,45049.07,"Arkham is a blockchain analytics startup building an intelligence platform that provides information on the real-world entities and individuals behind crypto market activity. We’re a Series A startup with over $12 million raised from investors including the founders of Palantir and OpenAI, and VCs including Geoff Lewis at Bedrock and Tim Draper. Our founders are veterans of the crypto industry, having previously founded Reserve, a stablecoin project for hyperinflationary economies, with investo…","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",,,"{'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK'}",-0.139134,51.503378,Data Engineer,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDEyMTYzODI0MyIsInMiOiJhaXFtRkxJeDdoR1VmZ3k3MlVoeFVBIn0.RZUrtm_DOrDapgM2OxJTF3Q5i-6h007tiMd8w3VT3CM,2023-05-28T01:45:27Z,https://www.adzuna.co.uk/jobs/land/ad/4121638243?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=0128A84DC460C7AB5FF50F4D8C87AD596AE71A4E,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Arkham Intelligence'}",,
8,4174329249,59678.78,59678.78,"As a Data Engineer, you will work on digital, data-driven transformation initiatives alongside data scientists, developers and DevOps engineers. You will help visualise, design and build the core data platforms and services based on a data mesh approach, using proven best practices and modern tech stacks.Alongside our Data Practice, you’ll be able to leverage the knowledge and experience of our technical SMEs and data scientists from around the world. We're constantly looking for talented engin…","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",,,"{'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK'}",-0.139134,51.503378,Data Engineer,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDE3NDMyOTI0OSIsInMiOiJhaXFtRkxJeDdoR1VmZ3k3MlVoeFVBIn0.UteEysobUf9bmgN06AMoFq42haCQj5PBcCIewY3cYk0,2023-06-28T10:24:50Z,https://www.adzuna.co.uk/jobs/land/ad/4174329249?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=E251A692FB28B28FF77D655CE66F33B4D687000A,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SYNECHRON'}",,
9,4234385934,47551.81,47551.81,"Are you ready to be at the forefront of Miller's ambitious growth plans? Join us as a Data Platform Engineer and help shape the future of our organisation by spearheading the development of a cutting-edge data platform. The Opportunity As Miller strives to become a true industry leader, being data-driven is one of our key strategic pillars, and you will play a pivotal role in making it a reality. In this role, you will be responsible for engineering a state-of-the-art data platform that empower…","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}",,,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}",-0.139134,51.503378,Data Engineer,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDIzNDM4NTkzNCIsInMiOiJhaXFtRkxJeDdoR1VmZ3k3MlVoeFVBIn0.AqKDOIsdP8gz49Pgbd1pMxdL61bj1YSxUsH21ke5K3Q,2023-08-01T06:01:31Z,https://www.adzuna.co.uk/jobs/land/ad/4234385934?se=aiqmFLIx7hGUfgy72UhxUA&utm_medium=api&utm_source=a432e053&v=C2CF5EA9B5B5B12611459232C485F7C3F5504C31,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'MILLER INSURANCE LLC'}",,
