,id,salary_min,salary_max,description,category,label,tag,location,longitude,latitude,title,salary_is_predicted,adref,created,redirect_url,company,class,area
0,4234322599,65000,65000,"Data Engineer FTC 12 months / Hybrid working Our client, a leading banking organisation in London have an opportunity for an experienced Data Engineer to join on an initial 12 month FTC. This role requires a Data Engineer who has excellent SQL stack experience. Role responsibilities Develop MI and Reports predominantly for business functions and SMEs, based on their requirements and expressed needs. Interact with other information workers (in business and finance teams) to ensure the data produ…","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}",,,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London', 'South West London', 'Belgravia'], 'display_name': 'Belgravia, South West London'}",-0.155104,51.509882,Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEtONE1TRXg3aEdkeXBBdnBUQV80USIsImkiOiI0MjM0MzIyNTk5In0.yz1YtSMhvPBIASsCPvyvy9_VRq9v8cX3SsImgm9m81Q,2023-08-01T05:46:35Z,https://www.adzuna.co.uk/jobs/land/ad/4234322599?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=9FA777685DDC0229797F3A5EED151C8442A495B1,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Proactive Appointments'}",,
1,4235535248,100000,100000,"Role: Principal Data Engineer Stack: Python/Java/Golang/C++, Azure, Spark etc Want to take the next big step in your journey as a Data Engineer? This company is in need of a Principal Data Engineer who will lead and scale their existing Data Engineering team to meet business needs and quality-assure their data services across the company. ?Industry: Energy Location: London Working Policy: Hybrid - 2/3 days in the office per week Size of org: 1000 Salary: up to£200k (Total Compensation) As a Pri…","{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",,,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK', 'area': ['UK', 'London']}",,,Principal Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEtONE1TRXg3aEdkeXBBdnBUQV80USIsImkiOiI0MjM1NTM1MjQ4In0.heQ0yl4G-WhResUT6p3LXtoBIovtN3G9IVXU4ixmM9E,2023-08-01T15:51:12Z,https://www.adzuna.co.uk/jobs/land/ad/4235535248?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=294508DC07ECEEE9D617D4579E2BBB9433B34C23,"{'display_name': 'Total Recruitment Specialists Limited / TRG / Total recruitment group', '__CLASS__': 'Adzuna::API::Response::Company'}",,
2,4235535436,100000,100000,"Python / Spark / PySpark / Hadoop / AWS / Azure / Big Data / Lead Data Engineer / Airflow / ETL Data Pipelines Title: Lead Data Engineer Company: FinTech Location: London, 2 days per week. Salary: £150,000 The Role: You will be working for one of most recognised Start-Up's in the FinTech industry. Python / Spark / PySpark / Hadoop / AWS / Azure / Big Data / Lead Data Engineer / Airflow / ETL Data Pipelines Responsibilities: Engineering and optimising Machine Learning and process algorithms for …","{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",,,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,Lead Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDIzNTUzNTQzNiIsInMiOiJYS040TVNFeDdoR2R5cEF2cFRBXzRRIn0.aVO4De20p58t86rD0XJTG0WfpflxVFFILfSvCJ0A6mQ,2023-08-01T15:51:14Z,https://www.adzuna.co.uk/jobs/land/ad/4235535436?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=D7F4FD1C4B28DFEE6AAA79702D01B87A32D3CFC7,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Tiro Partners'}",,
3,4235535250,95000,95000,Job Advert: Remote Data Engineer (DBT and Snowflake Specialist) Are you an ambitious and talented Data Engineer with expertise in DBT and Snowflake seeking a fully remote opportunity? Working remotely from anywhere in the world. We encourage you to apply if you are passionate about designing efficient data models and optimizing data pipelines to drive data-driven decision-making Responsibilities: Collaborate with cross-functional teams to understand data requirements and design efficient data m…,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,Senior Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEtONE1TRXg3aEdkeXBBdnBUQV80USIsImkiOiI0MjM1NTM1MjUwIn0.gYwc0B1zlNsJrnKw7EneDXEe0dS5OtiX7dzuM8IVWfU,2023-08-01T15:51:12Z,https://www.adzuna.co.uk/jobs/land/ad/4235535250?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=7CD2CD0DCC1598801C4362E4ADE414D832E0476A,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Salt'}",,
4,4225081460,100000,100000,Are you an experienced Data professional looking for an exciting new challenge? Would you like to join an established energy business as part of new digital transformation team driving the journey to Net Zero? Can you demonstrate a track record of working as a strategic partner bridging the gap between commercial business needs and the IT solutions? Do you have previous experience working in a fast paced commodities/trading environment? This newly created role operating as part of the global da…,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",,,"{'area': ['UK', 'London'], 'display_name': 'London, UK', '__CLASS__': 'Adzuna::API::Response::Location'}",,,Lead Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDIyNTA4MTQ2MCIsInMiOiJYS040TVNFeDdoR2R5cEF2cFRBXzRRIn0.rSpj6us0IfAsMSidlUdFqbkbEXQtHTXSY2PgL2pfgJ8,2023-07-26T20:08:14Z,https://www.adzuna.co.uk/jobs/land/ad/4225081460?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=7CA12A6A62D6E93E980699C899AEF3179AD4C391,"{'display_name': 'TURLEYWAY LIMITED', '__CLASS__': 'Adzuna::API::Response::Company'}",,
5,4205865088,60000,80000,"Senior Data Engineer - West London/Remote - Up to £80,000 Per Year I'm working with one of London's most prestigious Real Estate business, looking to hire a Senior Data Engineer. The business are looking for both Data Engineers and Senior Data Engineers to work within Digital and Product Development teams. The role will involve understanding he source of target data and using this to develop data integration solutions for migration purposes. It's essential that the successful candidate will hav…","{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,Data Engineer/Senior Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEtONE1TRXg3aEdkeXBBdnBUQV80USIsImkiOiI0MjA1ODY1MDg4In0.L01nQt4bxs4g9IEWIFKRmt1i-A1LFNfhnSKcDRkVIhE,2023-07-14T15:23:39Z,https://www.adzuna.co.uk/jobs/land/ad/4205865088?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=B991D89AEA8AE4124E33CE26B6D6D12C456FAAEE,"{'display_name': 'Henderson Scott', '__CLASS__': 'Adzuna::API::Response::Company'}",,
6,4222905856,108000,144000,"Data Engineer (People Analytics) £600 a day, Inside IR35. Fully remote role, based from the UK. 6-Month Contract, likely to extend past Great opportunity to join a global retail businesson a new innovative project. You will join the business as a Data Engineer being hands-on with designing and creating data pipelines and accompanying warehouse. The Role and Responsibilities The ideal Data Engineer will be: Shaping the way the business will store data. Designing and creating alongside other engi…","{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,"{'area': ['UK', 'London'], 'display_name': 'London, UK', '__CLASS__': 'Adzuna::API::Response::Location'}",,,Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDIyMjkwNTg1NiIsInMiOiJYS040TVNFeDdoR2R5cEF2cFRBXzRRIn0.iVJa6S415Ur-S4fdd9uH6VHBdV_VDneDx2n3VTWi-IM,2023-07-25T12:44:36Z,https://www.adzuna.co.uk/jobs/land/ad/4222905856?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=9E623A29A2B6139AD40A042BA8823527517BAFF3,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Harnham   Data & Analytics Recruitment'}",,
7,4225095825,50000,60000,DATA ENGINEER LONDON OR LEEDS - 1 DAY A MONTH IN THE OFFICE UP TO £ 60 K  BENEFITS Harnham are hiring a Data Engineer for a Financial Services company. This role includes managing data using the Spark and Hive systems. THE COMPANY: This role is for a Financial Services company that works with pioneering products and cutting-edge technology. They are looking to broaden their data capabilities by expanding their Data Engineering team. The company work collaboratively across business units and glo…,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}",,,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDIyNTA5NTgyNSIsInMiOiJYS040TVNFeDdoR2R5cEF2cFRBXzRRIn0.Oz9MuunxW4bDQsZEJn19AjqacpC8dylB0hyS6hiOXMQ,2023-07-26T20:10:22Z,https://www.adzuna.co.uk/jobs/land/ad/4225095825?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=B429A4577CF31ACEBB8E271193763539949935D4,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Harnham   Data & Analytics Recruitment'}",,
8,4195290656,60000,70000,"Job Title: Data Engineer Location: London - Old Street (2 days a week in the office) Salary: £60,000 - £70,000 with benefits package Our Company: We are working with a leading consultancy providing a wide variety of data-related services across various sectors. This firm has a collaborative and flat hierarchy, offering unlimited annual leave, diversity and inclusion focus groups, and weekly social activities both in person and virtually. The team is made up of diverse individuals with a 50:50 g…","{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",,,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDE5NTI5MDY1NiIsInMiOiJYS040TVNFeDdoR2R5cEF2cFRBXzRRIn0.5G0b_O58fivUSVW5iUVY1xvMHAKLumlDzGYbE3NLEms,2023-07-07T22:49:02Z,https://www.adzuna.co.uk/jobs/land/ad/4195290656?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=0ACCD53BB0D11B14E64276016F9312939A9D07C2,"{'display_name': 'Harnham   Data & Analytics Recruitment', '__CLASS__': 'Adzuna::API::Response::Company'}",,
9,4193518134,50000,70000,"DATA ENGINEER LONDON, CURRENTLY FLEXIBLE / HYBRID Salary: £50,000 - £70,000  BONUS LONDON This is an extremely technically driven company offering many benefits. They are data-driven and are situated globally, streaming, and using data to best help their customer. THE COMPANY This global retail company is heavily driven by Data and Analytics and is looking for a Data Engineer to deliver actionable and meaningful work. This company has a vast amount of data to work through and, you will be worki…","{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London'], 'display_name': 'London, UK'}",,,Data Engineer,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEtONE1TRXg3aEdkeXBBdnBUQV80USIsImkiOiI0MTkzNTE4MTM0In0.T0pKAxQdV4z0p6i4RvjQ1Qjp0-vun0LnNFPo5gxoX1Y,2023-07-06T22:55:07Z,https://www.adzuna.co.uk/jobs/land/ad/4193518134?se=XKN4MSEx7hGdypAvpTA_4Q&utm_medium=api&utm_source=a432e053&v=D1313D61AB04C48A6CA8F6D84FD7EC5BFDCBE248,"{'display_name': 'Harnham   Data & Analytics Recruitment', '__CLASS__': 'Adzuna::API::Response::Company'}",,
